date,lat_bin,lon_bin,fire_count,fire_power_MW,max_temp_K,max_power_MW
2024-06-05,21.0,-104.5,2,81.81908,601.45276,52.037037
2024-06-05,21.0,-103.5,1,145.823,545.3624,145.823
2024-06-05,21.0,-87.5,1,108.07085,539.81384,108.07085
2024-06-05,21.0,-87.0,1,39.80331,435.48907,39.80331
2024-06-05,21.5,-105.0,1,20.489529,414.88785,20.489529
2024-06-05,21.5,-98.0,2,159.26439,624.5262,127.95448
2024-06-05,22.0,-104.5,1,64.56483,495.64474,64.56483
2024-06-05,23.0,-106.0,1,50.981544,502.34702,50.981544
2024-06-05,24.0,-106.5,2,206.45724,607.8804,139.36511
2024-06-05,25.5,-107.5,1,63.711617,565.4143,63.711617
2024-06-05,26.0,-107.5,1,62.740257,477.73538,62.740257
2024-06-05,27.0,-107.5,1,65.74516,566.07355,65.74516
2024-06-05,27.5,-108.0,1,128.21207,,128.21207
2024-06-05,27.5,-103.5,1,46.777214,416.37112,46.777214
2024-06-05,27.5,-81.5,1,58.856033,450.48682,58.856033
2024-06-05,29.0,-108.0,1,54.74166,490.42575,54.74166
2024-06-05,31.0,-87.0,1,34.21352,493.83185,34.21352
2024-06-05,31.0,-84.5,1,93.94547,460.9797,93.94547
2024-06-05,33.5,-115.0,2,1815.5847,1182.1882,1013.0365
2024-06-05,35.0,-120.5,1,76.93867,635.29376,76.93867
2024-06-05,39.0,-105.5,2,315.92908,558.3275,177.99165
2024-06-05,44.5,-95.5,1,52.81229,552.9437,52.81229
2024-06-05,50.0,-80.0,2,1174.7251,1501.0408,744.1306
2024-06-06,14.5,-84.5,2,139.51486,1060.8333,73.67568
2024-06-06,15.5,-92.5,2,89.48915,453.6182,50.10422
2024-06-06,15.5,-89.0,1,59.350636,,59.350636
2024-06-06,16.0,-94.0,1,62.193527,576.73126,62.193527
2024-06-06,16.0,-93.0,1,44.13657,497.18298,44.13657
2024-06-06,16.0,-89.0,1,57.055855,407.69113,57.055855
2024-06-06,16.5,-99.0,1,40.215378,587.49884,40.215378
2024-06-06,16.5,-98.5,1,46.070972,694.18585,46.070972
2024-06-06,16.5,-96.0,1,33.791214,534.26526,33.791214
2024-06-06,16.5,-93.5,1,28.53804,407.74606,28.53804
2024-06-06,16.5,-91.0,2,136.5998,671.38715,75.08765
2024-06-06,16.5,-90.5,1,57.686554,521.7397,57.686554
2024-06-06,16.5,-88.5,4,543.5526,509.15918,139.21883
2024-06-06,17.0,-101.0,4,302.12357,680.67145,119.1222
2024-06-06,17.0,-100.5,1,75.247246,492.84296,75.247246
2024-06-06,17.0,-99.0,1,71.2504,405.32886,71.2504
2024-06-06,17.0,-96.0,1,43.291565,466.25363,43.291565
2024-06-06,17.0,-94.5,2,67.70714,516.5207,35.47005
